"Loja";"Name Searched";"Name Found";"Price";"URL"
"Nintendo eShop";"project x zone";"Project X Zone 2";"Indisponível";"http://www.nintendo.com/games/detail/DTGKYKzu9XPIKdNsRHfHSYWYvjQBizO1"
"Nintendo eShop";"project x zone";"Project X Zone";"$19.99*";"http://www.nintendo.com/games/detail/XOJpy8wWy_H50bKvClES1IWLzZJErHvG"
"Big Boy Games";"project x zone";"3DS - Project X Zone Limited Edition";"R$ 103,99";"http://www.bigboygames.com.br/3ds-project-x-zone-limited-edition-p5538/"
"Big Boy Games";"project x zone";"3DS - Project X Zone";"R$ 99,98";"http://www.bigboygames.com.br/3ds-project-x-zone-p5243/"
"Balão da Informática";"project x zone";"-";"-";"https://www.balaodainformatica.com.br/Produtos/Buscar/?busca=<BUSCA>"
"Casas Bahia";"project x zone";"Game 3DS Project X Zone";"219,90";"http://buscas.casasbahia.com.br/search?w=project+x+zone"
"Extra";"project x zone";"Game 3DS Project X Zone";"219,90";"http://buscando.extra.com.br/search?p=R&srid=S2-5IADP&lbc=extra&w=project%20x%20zone&url=http%3a%2f%2fproduto.extra.com.br%2f2437394%3f&rk=1&uid=322574382&sid=2&ts=custom&rsc=6B3JdFc1Cv56iCBA&method=and&isort=score&view=grid"
"E-Virtua";"project x zone";"-";"-";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"project x zone";"-";"-";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
"Fast Shop";"project x zone";"-";"-";"http://www.fastshop.com.br/webapp/wcs/stores/servlet/SearchDisplay?searchTerm=<BUSCA>&categoryId=&storeId=10151&catalogId=11052&langId=-6&pageSize=9&beginIndex=0&sType=SimpleSearch&resultCatEntryType=2&showResultsPage=true&searchSource=Q&pageView=&hotsite=fastshop"
"FNAC";"project x zone";"-";"-";"http://busca.fnac.com.br/?busca=<BUSCA>"
"Kabum";"project x zone";"-";"-";"http://www.kabum.com.br/cgi-local/site/listagem/listagem.cgi?string=<BUSCA>&btnG="
"Livraria Cultura";"project x zone";"PROJECT X ZONE (3DS)";"Indisponível";"http://www.livrariacultura.com.br/p/project-x-zone-3ds-37022164"
"Mula Games";"project x zone";"Project X Zone - 3DS";"166.9";"http://www.mulagames.com.br/Project-X-Zone-3DS/prod-1739499/"
"Ponto Frio";"project x zone";"-";"-";"http://search.pontofrio.com.br/search?w=<BUSCA>"
"Ricardo Eletro";"project x zone";"-";"-";"http://www.ricardoeletro.com.br/Busca/Resultado/?q=<BUSCA>"
"RiHappy";"project x zone";"-";"-";"http://www.rihappy.com.br/<BUSCA>"
"Shop Facil";"project x zone";"-";"-";"http://ww2.shopfacil.com.br/<BUSCA>"
"Shop Time";"project x zone";"Project X Zone N3ds";"R$ 219,90";"http://www.shoptime.com.br/produto/8463322/project-x-zone-n3ds"
"Shop Time";"project x zone";"Project X Zone N3ds";"R$ 219,90";"http://www.shoptime.com.br/produto/8463322/project-x-zone-n3ds"
"Submarino";"project x zone";"Project X Zone N3ds";"R$ 219,90";"http://www.submarino.com.br/produto/8463322/project-x-zone-n3ds"
"Walmart";"project x zone";"Project X Zone N3DS";"219.9";"http://www.walmart.com.br//project-x-zone-n3ds/2377087/pr"
"Nintendo eShop";"Ghost Recon Shadow Wars";"Tom Clancy's Ghost Recon Shadow Wars";"$29.99";"http://www.nintendo.com/games/detail/YtcaAG4uTY0GaB3ZmWtgCGBkEW-310nY"
"Americanas";"Ghost Recon Shadow Wars";"Tom Clancys Ghost Recon: Shadow Wars - 3ds";"R$ 129,90";"http://www.americanas.com.br/produto/7978664/tom-clancys-ghost-recon-shadow-wars-3ds"
"Big Boy Games";"Ghost Recon Shadow Wars";"3DS - Tom Clancy's Ghost Recon: Shadow Wars";"R$ 85,39";"http://www.bigboygames.com.br/pesquisa/?p=Ghost+Recon+Shadow+Wars"
"Balão da Informática";"Ghost Recon Shadow Wars";"UBISOFT Tom Clancys Ghost Recon: Shadow Wars - NINTENDO 3DS";"Indisponível";"https://www.balaodainformatica.com.br//Produto/32864/UBISOFT-Tom-Clancys-Ghost-Recon-Shadow-Wars---NINTENDO-3DS"
"Casas Bahia";"Ghost Recon Shadow Wars";"Jogo Ghost Recon Shadow Wars - 3DS";"129,90";"http://buscas.casasbahia.com.br/search?w=Ghost+Recon+Shadow+Wars"
"Extra";"Ghost Recon Shadow Wars";"Jogo Ghost Recon Shadow Wars - 3DS";"129,90";"http://buscando.extra.com.br/search?p=R&srid=S2-1IADP&lbc=extra&w=Ghost%20Recon%20Shadow%20Wars&url=http%3a%2f%2fproduto.extra.com.br%2f3379905%3f&rk=1&uid=322802679&sid=2&ts=custom&rsc=vvsLhouOAbj-zPl7&method=and&isort=score&view=grid"
"E-Virtua";"Ghost Recon Shadow Wars";"-";"-";"http://www.evirtua.com.br/Busca?search_department_id=0&SearchTerm=<BUSCA>"
"Fast Games";"Ghost Recon Shadow Wars";"-";"-";"http://www.fastgames.com.br/loja/busca.php?loja=187970&palavra_busca=<BUSCA>"
